ngrams,state,Notes
,", Louisiana",Police Jury Association of Louisiana -- Note added 7/23/13 19:36
"board,board examiners",,LLPVRC Board of Examiners -- Note added 8/24/15 14:54
"board examiners,state,state board examiners,board,state board",", Louisiana",Louisiana State Board of Examiners of Psychologists   -- Note added 8/24/15 14:55
"board examiners,state,state board examiners,board,state board",", Louisiana",Louisiana State Board of Examiners for Sanitarians -- Note added 9/23/15 16:47
"board examiners,state,state board examiners,board,state board",", Louisiana",Louisiana State Board of Examiners of Interior Designers -- Note added 9/23/15 16:48
board,", Louisiana",Louisiana Board of Massage Therapy -- Note added 11/12/15 17:34
"board,state board,state",", Louisiana",Louisiana State Board of Private Investigator Examiners -- Note added 8/24/15 14:55
"board,state board,state",,LOUISIANA STATE BOARD OF PRACTICAL NURSE EXAMINERS -- Note added 8/24/15 14:56
board,", Louisiana",Louisiana Board of Veterinary Medicine -- Note added 8/24/15 14:56
board,", Louisiana",Louisiana Board of Drug and Device Distributors -- Note added 8/24/15 14:57
,,LSU Ag Center -- Note added 8/24/15 14:57
,", Wisconsin",League of Wisconsin Municipalities -- Note added 8/5/14 6:00
,,maine history -- Note added 8/27/15 18:29
"authority,state",,maine state housing authority -- Note added 8/27/15 18:30
"lottery,state",", Maine",Maine State Lottery - www.mainelottery.com -- Note added 6/12/13 14:14
authority,,maine turnpike authority -- Note added 8/27/15 18:30
,", Maryland",Comptroller of Maryland -- Note added 5/27/14 3:01
,,Mass budget & policy Center -- Note added 8/26/15 16:11
,,Ma cultural Council -- Note added 8/26/15 16:11
,,Mass historical society -- Note added 8/26/15 16:12
"lottery,state",,Massachuetts State Lottery -- Note added 6/12/13 14:14
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Massachusetts",Travel and Tourism Site for Massachusetts -- Note added 6/6/13 19:40
state,", Montana","Montana Bureau of Mines and Geology, a nonregulatory state agency -- Note added 11/22/13 13:34"
department,", Maryland","Maryland 511 Traveller Information, Maryland Department of Transportation -- Note added 1/26/15 12:49"
,,maine development foundation -- Note added 8/27/15 18:31
department,", Maryland",Maryland Department of Housing and Community Development -- Note added 6/6/13 18:08
"office,state",", Maryland","Maryland Kids Page, Office of the Secretary of State -- Note added 6/6/13 18:08"
lottery,", Maryland",Maryland Lottery -- Note added 6/12/13 14:14
authority,", Maryland",Maryland Stadium Authority -- Note added 5/27/14 3:08
department,", Mississippi","Mississippi Department of Wildlife, Fisheries, and Parks -- Note added 7/25/14 12:41"
,,Municipal Employees' Retirement System -- Note added 9/3/15 15:37
office,", Montana","Montana Guaranteed Student Loan Program (MGSLP), a program within the Office of the Commissioner of Higher Education -- Note added 11/22/13 13:35"
"health,authority",", Alaska",Alaska Mental Health Trust Authority -- Note added 6/6/13 18:08
"health,office",", Alaska",Alaska Mental Health Trust Land Office -- Note added 6/6/13 18:08
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Michigan",Travel and Tourism Site for Michigan -- Note added 6/6/13 19:41
,,michigan humanities council -- Note added 9/3/15 15:38
lottery,", Michigan",Michigan Lottery -- Note added 12/17/14 12:25
state,", Michigan",Michigan State Park and Harbor Reservations  -- Note added 9/3/15 15:41
lottery,", Michigan",Michigan Lottery Connect (Blog) -- Note added 12/17/14 12:29
national guard,", Michigan",Michigan National Guard -- Note added 1/23/14 14:03
national guard,", Minnesota",Minnesota National Guard URL must have 'www' to resolve  -- Note added 4/26/15 5:37
authority,", Mississippi",Mississippi Development Authority -- Note added 7/25/14 12:42
state,", Mississippi",Campgrounds and Camping at Mississippi State Parks -- Note added 3/20/14 16:45
,", Missouri","Missouri Center for the Books, an affiliate of the national Center for the Book in the Library of Congress, which was established by law in 1977 to strengthen and celebrate the vital role of books, reading, and libraries in the cultural life of the nation. -- Note added 1/13/14 19:38"
division,", Missouri","MissouriFamilies is produced by the College of Human Environmental Sciences, Extension Division, University of Missouri -- Note added 1/10/14 19:17"
,", Minnesota","Minnesota Association of Watershed Districts, Inc. Per the 'What is MAWD?' section of their website, 'the Minnesota Association of Watershed Districts provides educational opportunities, information and training for watershed district managers and staff through yearly tours, meetings and quarterly newsletters.' -- Note added 4/26/15 5:42"
national guard,", Missouri",Missouri National Guard -- Note added 1/23/14 14:03
lottery,", Missouri",Missouri Lottery -- Note added 6/12/13 14:15
state,", Alabama",The Alabama State Treasury's official website for unclaimed property searches -- Note added 6/6/13 18:08
"tourism,office,site,state",", Montana","Montana Kids, an official state site of the http://visitmt.com/ Montana Office of Tourism. -- Note added 11/22/13 13:38"
lottery,", Montana",Montana Lottery -- Note added 6/12/13 14:15
state,", Montana","Montana State Fund, created by the state legislature in 1990 to create a fair and equitable system of workers' compensation insurance. -- Note added 11/18/13 16:26"
state,,Mountain State Combined Federal Campaign -- Note added 7/24/14 5:41
state,", Mississippi","Mississippi Industries for the Blind, a state agency of Mississippi -- Note added 7/25/14 12:47"
"board,state board,state",", Mississippi",Mississippi State Board of Contractors -- Note added 7/25/14 12:48
commission,", Mississippi",Mississippi Athletic Commission -- Note added 7/25/14 12:49
"commission,state",", Maryland",Maryland State Commission on Criminal Sentencing Policy -- Note added 5/27/14 3:25
,", Mississippi",Mississippi Emergency Management Agency -- Note added 7/25/14 12:51
,", Mississippi",Mississippi Home Corporation -- Note added 7/25/14 12:52
"state university extension,state",", Mississippi",Mississippi State University Extension -- Note added 7/25/14 12:52
"state university extension,state",", Michigan",Michigan State University Extension -- Note added 11/19/13 13:43
"state university extension,state",", Montana",Montana State University Extension -- Note added 11/22/13 13:44
"department,authority",", Montana","Montana Facility Finance Authority, MT Department of Commerce -- Note added 11/22/13 13:46"
department,", Montana","Montana Finance Information Center, MT Department of Commerce -- Note added 11/22/13 13:55"
lottery,", Arkansas",Arkansas Scholarship Lottery -- Note added 6/12/13 14:17
state,", Florida",The official state portal of the State of Florida -- Note added 6/6/13 18:08
"department,services",", Florida",Florida Department of Financial Services -- Note added 7/31/13 17:13
office,", Florida",Florida Office of the Attorney General -- Note added 1/10/14 19:17
health,", Florida",Developed by the Florida Attorney General and the Agency for Health Care Administration (AHCA) to help consumers shop for the lowest price in their area for their prescription drugs. -- Note added 1/10/14 19:17
commission,", Florida",Florida Fish and Wildlife Conservation Commission -- Note added 7/7/14 12:02
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Northern Mariana Islands",Travel and Tourism Site for the Northern Mariana Islands -- Note added 6/6/13 19:42
,", Virgin Islands","National Archives and Records Management Unit, Government of the Virgin Islands -- Note added 8/18/14 14:03"
nc,,NC Museum of Natural Sciences -- Note added 11/12/15 15:15
nc,,NC Council on Developmental Disabilities -- Note added 1/14/14 14:15
"lottery,carolina,north",", North Carolina",North Carolina Education Lottery -- Note added 6/12/13 14:18
"office,nc,state",,NC State Construction Office -- Note added 9/16/15 13:21
"carolina,north,commission",", North Carolina",North Carolina Alcoholic Beverage Control Commission -- Note added 9/11/15 20:30
nc,,NC Agriculture Development & Farmland Preservation Trust Fund -- Note added 11/12/15 15:13
"department,north,carolina department,department agriculture consumer,services,carolina,division",", North Carolina","Multi-Hazard Threat Database, Emergency Programs Division, North Carolina Department of Agriculture and Consumer Services -- Note added 7/26/13 15:42"
"carolina,division,north",", North Carolina",North Carolina Division of Air Quality -- Note added 3/20/14 15:16
"board,carolina,north",", North Carolina",The North Carolina Auctioneers board -- Note added 9/11/15 20:32
nc,,NC Court System  -- Note added 9/11/15 20:32
"board,nc",,NC appraisal board -- Note added 9/11/15 20:33
"nc,public",,NC Triangle Public Access TV n  n  -- Note added 9/11/15 20:35
nc,,NC Aquariums -- Note added 9/11/15 20:35
nc,,NC Museum of Art -- Note added 9/11/15 20:36
"carolina,north",", North Carolina",North Carolina Arts Council -- Note added 11/20/13 12:24
"department,public,health,department education,nc department,nc,department health human,services,division,health human services",,"NC Assistive technology Program - Receives grant funding under Public Law 108-364  through the Rehabilitation Services Administration, U.S. Department of Education, and is administered by the N.C. Department of Health and Human Services, Division of Vocational Rehabilitation Services -- Note added 11/12/15 15:02"
"office,nc,state",,NC Office of the State Auditor -- Note added 1/14/14 13:12
"board,carolina,north",", North Carolina",North Carolina Board of Architecture -- Note added 9/11/15 20:37
"board,nc",,NC Board of Athletic Trainers Examiners -- Note added 9/11/15 20:38
"board,carolina,north",", North Carolina",North Carolina Board of Dietetics/Nutrition   -- Note added 9/11/15 20:38
"board,board examiners,nc",,NC Board of Examiners of electrical contractors -- Note added 9/11/15 20:39
"board,board examiners,nc",,NC Board of Examiners for engineers and surveyors -- Note added 9/11/15 20:40
"board,nc",,NC Board of Nursing Homes Administrators -- Note added 9/11/15 20:41
"board,nc,services",,NC Board of Funeral Services -- Note added 9/11/15 20:41
"board,nc",,NC Board of Law Examiners -- Note added 9/14/15 20:44
"board,carolina,north",", North Carolina",The North Carolina Board for the Licensing of Geologists  -- Note added 9/14/15 20:27
"board,carolina,north",", North Carolina",The North Carolina Board of Licensed Professional Counselors -- Note added 9/14/15 20:28
"carolina,north",", North Carolina",The North Carolina Soil Scientist Licensing Program -- Note added 9/14/15 20:28
"board,board examiners,nc",,NC Board of Examiners for Speech Language and Pathologist & Audiologist n  -- Note added 9/14/15 20:30
"board,nc",,Welcome to the NC Board of Landscape Architects -- Note added 9/14/15 20:31
"board,nc",,NC Board of Nursing -- Note added 9/14/15 20:31
"board,nc",,NC Board of Pharmacy -- Note added 9/14/15 20:32
"board,carolina,north",", North Carolina",The North Carolina Board of Occupational Therapy -- Note added 9/14/15 20:32
"board,carolina,north,state",", North Carolina",The Board of Podiatry Examiners for the State of North Carolina  -- Note added 9/14/15 20:32
nc,,NC Waste Management -- Note added 9/14/15 20:33
nc,,nc business court -- Note added 9/14/15 20:33
nc,,NC School bus Safety -- Note added 9/14/15 20:34
"department,north,carolina department,carolina,division",", North Carolina","Rail Division, North Carolina Department of Transportation -- Note added 7/24/13 16:07"
"board,carolina,north",", North Carolina",North Carolina Social Work Certification and Licensure Board -- Note added 9/22/15 14:10
"carolina,north",", North Carolina","The North Carolina Center for Global Logistics is a collaborative effort between community colleges, universities, and industry partners focused on developing a highly trained workforce for the logistics and supply chain industry. -- Note added 9/14/15 20:47"
nc,,NC Child Support Enforcement -- Note added 9/14/15 20:36
"board,carolina,north",", North Carolina",North Carolina Board of Chiropractic Examiners -- Note added 9/14/15 20:37
"department,north,carolina department,department cultural resources,carolina",", North Carolina","North Carolina Civil War Sesquicentennial, North Carolina Department of Cultural Resources -- Note added 11/12/15 14:54"
"division,nc",,NC Division of Coastal Management -- Note added 1/14/14 14:16
nc,,"NC Coastal Reserve and National Estuarine Research Reserve, NC DEQ -- Note added 11/12/15 14:51"
"carolina,office,north",", North Carolina",North Carolina Office of the Commissioner of Banks (NCCOB) -- Note added 11/19/13 18:51
"department,carolina department,carolina,north",", North Carolina",North Carolina Department of Commerce -- Note added 7/24/13 16:42
nc,,nc court system -- Note added 9/14/15 20:38
"nc,public",,NC Dept of Public Safety -- Note added 9/14/15 20:39
"nc,department,nc department",,N.C. Department of Environment and Natural Resources -- Note added 7/24/13 16:27
"north,state,board,state board,carolina",", North Carolina",North Carolina State Board of Dental Examiners -- Note added 9/14/15 20:40
"carolina,site,north",", North Carolina","This site is a tool for North Carolina citizens and providers to reduce the impact of diabetes through leadership, education, communication and community involvement. -- Note added 9/14/15 20:41"
"carolina,office,nc,north",", North Carolina","The NC Helping Neighbors Fund is managed by the Governor's Office, in partnership with United Way of North Carolina. Donations are tax deductible; 100% of donated funds will go to the states impacted by Hurricane Sandy. -- Note added 9/14/15 20:48"
"public,department,nc department,nc,nc department public,division",," Juvenile Justice section of the N.C. Department of Public Safety, Division of Adult Correction and Juvenile Justice.  -- Note added 9/15/15 16:00"
"nc,division",,"Division of Marine Fisheries, NC DENR -- Note added 11/12/15 14:07"
"nc,commission",,NC Marine Fisheries Commission Store -- Note added 11/12/15 14:39
"division,nc,public",,NC Division of Non Public Education -- Note added 9/15/15 16:01
"department,carolina department,carolina,north",", North Carolina",North Carolina Department of Insurance -- Note added 11/19/13 20:06
,,Dept of Justice -- Note added 9/15/15 16:04
"carolina,north",", North Carolina",North Carolina Drought Management Advisory Council -- Note added 11/12/15 14:05
"division,nc",,NC DENR's Division of Waste Management -- Note added 11/12/15 13:55
"carolina,office,north",", North Carolina",The North Carolina Office of EMS -- Note added 9/15/15 16:07
"carolina,public,north,state",", North Carolina",The North Carolina Forest Service operates a system of six Educational State Forests (ESFs) designed to teach the public - especially school children - about the forest environment. -- Note added 9/15/15 16:34
"nc,division",,"Facility Management Division, NC DOA -- Note added 11/12/15 13:45"
"carolina,north",", North Carolina","North Carolina Farm Fresh is a directory of pick-your-own farms, roadside farm markets, and farmers markets throughout North Carolina. It is designed to help the consumer, find the freshest locally grown fruits, vegetables, christmas trees, ornamental plants, flowers, and herbs. -- Note added 9/15/15 16:34"
"department,north,carolina department,nc,department agriculture consumer,services,carolina",", North Carolina","NC Farm to School program, North Carolina Department of Agriculture and Consumer Services -- Note added 6/12/13 18:34"
"health,carolina,office,north",", North Carolina","North Carolina Farmworker Health Program (NCFHP), a statewide Migrant Health Voucher Program within the Office of Rural Health -- Note added 11/12/15 13:44"
"office,nc",,NC Film Office -- Note added 9/15/15 16:35
"carolina,north",", North Carolina","Firewise North Carolina, North Carolina Forest Service -- Note added 6/12/13 18:15"
division,,Division of Marine Fisheries  -- Note added 9/15/15 16:36
nc,,NC flood risk information system -- Note added 9/15/15 16:37
nc,,NC Foreclosure Prevention Fund -- Note added 11/12/15 13:43
"carolina,north",", North Carolina","North Carolina Forest Action Plan, North Carolina Forest Service -- Note added 11/12/15 13:40"
"carolina,north",", North Carolina",North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/  -- Note added 11/12/15 13:39
"site,nc",,NC Fresh Produce Information site -- Note added 9/15/15 16:37
"carolina,north,state",", North Carolina",State of North Carolina -- Note added 1/14/14 13:05
"department,public,north,nc department,nc,nc department public,carolina",", North Carolina","Governor's School of North Carolina, NC Department of Public Instruction -- Note added 6/12/13 18:35"
"carolina,north",", North Carolina",The North Carolina Global TransPark -- Note added 9/15/15 16:39
nc,,NC hearing Aid Dealers -- Note added 9/15/15 16:39
"health human services,health,nc,services",,NC Health & Human Services -- Note added 9/15/15 16:39
nc,,NC Healthy School Website -- Note added 9/15/15 16:41
nc,,NC Housing Finance Agency  -- Note added 9/15/15 16:42
"board,carolina,north",", North Carolina",North Carolina Home Inspetor Licensure Board -- Note added 11/20/13 12:38
nc,,NC Historic Sites -- Note added 9/15/15 16:42
"office,services",,Office of Indigent Defense Services  -- Note added 9/15/15 16:43
nc,,NC International House -- Note added 9/15/15 16:44
nc,,NC Institute of Medecine -- Note added 9/15/15 16:45
"board,carolina,north",", North Carolina",The North Carolina Interpreters & Transliterators Licensing Board -- Note added 9/15/15 16:45
"carolina,state,north,services",", North Carolina",NCknows is a service that allows North Carolina residents to get help from librarians and use their library resources remotely through a computer. NCknows is a pilot project supported by a grant under the Federally-funded Library Services and Technology Act (LSTA). The project is administered by the State Library of North Carolina in Raleigh with help from a committee of librarians and directors from North Carolina's libraries. -- Note added 11/12/15 13:22
nc,,NC Dept of Labor -- Note added 9/15/15 16:45
nc,,NC Generla Assembly  -- Note added 9/15/15 16:46
"board examiners,north,state,state board examiners,board,state board,carolina",", North Carolina","North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors -- Note added 9/15/15 16:46"
"nc,state",,NC Lifetime Income - Members of the Teachers' and State Employees' Retirement System (TSERS) and Local Governmental Employees' Retirement System (LGERS) will have a one-time opportunity to transfer all or part of their NC 401(k) and/or NC Deferred Compensation (457) funds to the Retirement System in order to receive lifetime income at or after retirement. -- Note added 11/12/15 13:21
"nc,public",,NC Public Library -- Note added 9/15/15 16:47
"carolina,north",", North Carolina",North Carolina League of Municipalities -- Note added 6/6/13 18:08
"board,carolina,north",", North Carolina",the board of Marriage and family therapy of North Carolina -- Note added 9/15/15 16:48
"board,carolina,north",", North Carolina",The North Carolina Locksmith Licensing Board -- Note added 9/15/15 16:48
"north,state,office,services,carolina",", North Carolina",State of North Carolina Office of Information Technology Services -- Note added 9/15/15 16:49
"carolina,north",", North Carolina",North Carolina Maritime Museum System -- Note added 8/2/13 15:50
"department,north,nc department,nc,department cultural resources,carolina",", North Carolina","North Carolina Highway Historical Marker Program, NC Department of Cultural Resources -- Note added 11/12/15 13:19"
"board,nc",,NC Medical Board -- Note added 9/15/15 16:53
"division,nc",,NC Division of Medical Assistance -- Note added 9/15/15 16:54
"health,office,nc",,N.C. Office of Minority Health and Health Disparities -- Note added 9/15/15 16:55
nc,,NC Motor fleet management -- Note added 9/15/15 16:55
"health,nc",,The N.C. Health Care Personnel Registry Section   -- Note added 9/15/15 16:56
nc,,Early Hearing Detection and Intervention Program (NC DHHS &gt; DPH &gt; WCH Section &gt; Children and Youth Branch) -- Note added 11/12/15 13:18
"carolina,north",", North Carolina",The North Carolina Natural Heritage Program -- Note added 9/15/15 16:56
"state agencies,carolina,north,state",", North Carolina","Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  -- Note added 11/12/15 13:15"
"carolina,office,north",", North Carolina",North Carolina Office of Administrative Hearings -- Note added 9/15/15 16:57
nc,,Welcome to the Grand Chapter of NC Order of the Eastern Star -- Note added 9/15/15 16:57
"north,nc,public",", North Carolina",NC OneMap is a public service providing comprehensive discovery and access to North Carolina's geospatial data resources. -- Note added 9/15/15 16:58
"north,nc,public",", North Carolina","NC OneMap, a public service providing comprehensive discovery and access to North Carolina's geospatial data resources. -- Note added 11/12/15 13:13"
"board examiners,north,state,state board examiners,board,state board,carolina",", North Carolina",he North Carolina State Board of Examiners in Optometry -- Note added 9/15/15 16:58
"public,department,health,nc department,nc,nc department public,public health",,"NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  -- Note added 11/12/15 13:12"
nc,,NC ports  -- Note added 9/15/15 17:03
nc,,NC Progress Portal -- Note added 9/15/15 17:03
"board,nc",,nc psychology board -- Note added 9/15/15 17:03
"board,carolina,north",", North Carolina",The North Carolina Board of Physical Therapy Examiners -- Note added 9/15/15 17:04
"department,north,office,department cultural resources,carolina",", North Carolina","Historical Publications, North Carolina Office of Archives and History, Department of Cultural Resources - www.ncpublications.com -- Note added 6/6/13 18:34"
"public health,public,north,health,carolina,division public health,division",", North Carolina",North Carolina Division of Public Health -- Note added 7/26/13 15:09
"nc,public",,nc public schools -- Note added 9/15/15 17:05
"department,health,nc department,nc,department health human,services,health human services",,"Radiation Protection Section, NC Department of Health and Human Services -- Note added 1/14/14 14:18"
"site,nc",,NC Radon Awarenes Site -- Note added 9/15/15 17:05
"site,nc,services",,"We serve the NC insurance industry by providing services and programs for automobile, property and workers compensation insurance. This site contains information for these types of insurance. -- Note added 9/15/15 17:06"
"carolina,north",", North Carolina",the North Carolina Respiratory Care   -- Note added 9/15/15 17:13
"carolina,north,authority",", North Carolina",North Carolina Rural Electrification Authority -- Note added 9/15/15 17:14
"state,health,board,nc,state board",,NC State Board of Environmental Health Specialist Examiners -- Note added 11/19/13 20:40
nc,,nc report cards for schools -- Note added 9/15/15 17:16
nc,,nc science and technology -- Note added 9/15/15 17:17
nc,,NC School for the deaf -- Note added 9/15/15 17:17
"nc,state",,NC State Employees Combined Campaign -- Note added 9/15/15 17:18
"health,carolina,north",", North Carolina",North Carolina Seniors' Health Insurance Information Program (SHIIP) -- Note added 1/22/14 19:19
"department,public,north,health,nc department,nc,nc department public,carolina,public health",", North Carolina","North Carolina Sickle Cell Syndrome Program, NC Department of Public Health -- Note added 11/12/15 13:09"
"north,state,department,public,carolina department,nc,carolina,division",", North Carolina",The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19
"carolina,site,north",", North Carolina","Thank you for visiting ACCESSNC, your one-stop source for North Carolina economic data and site information. -- Note added 9/15/15 17:19"
"health,carolina",,"The Carolina Star Program is designed to recognize and promote effective safety and health management systems. In Star, management, labor and OSH establish a cooperative relationship at a workplace that has implemented a strong program. -- Note added 9/15/15 17:20"
"nc,state",,NC state Fair -- Note added 9/15/15 17:20
"site,nc",,NC Stormwater and Runoff pollution site -- Note added 9/15/15 17:22
"nc,state",,NC State Univ Extension  -- Note added 9/15/15 17:22
"board,carolina,north",", North Carolina",North Carolina Social Work Certification and Licensure Board -- Note added 9/22/15 14:12
nc,,NC Symphony -- Note added 9/15/15 17:22
"department,health,nc department,nc,department health human,services,health human services",,"Tobacco Free Schools, NC Department of Health and Human Services -- Note added 2/25/14 13:20"
"carolina,office,north,state",", North Carolina",State of North Carolina Japan Office -- Note added 7/24/13 16:40
,,NC-TOPPS homepage is now http://www.ncdhhs.gov/MHDDSAS/providers/NCTOPPS/index.htm. Entry still included here for nctopps.ncdmh.net pattern for pages such as https://www.google.com/search?q=site%3Anctopps.ncdmh.net. -- Note added 7/23/14 14:41
"office,nc,state",,NC Office of State Personnel -- Note added 1/14/14 13:06
nc,,NC Transportation Museum -- Note added 9/15/15 17:25
"department,north,state,carolina department,carolina",", North Carolina",North Carolina Department of State Treasurer -- Note added 6/6/13 18:09
"board,carolina,north",", North Carolina",North Carolina Veterinary Medical Board -- Note added 9/15/15 17:30
north,", North Carolina",North Carolina's marketplace for discarded or surplus materials and products. -- Note added 9/15/15 17:31
"division,nc",,NC Division of Water Resources -- Note added 9/15/15 17:31
"carolina,division,north",", North Carolina",North Carolina Division of Water Resources -- Note added 11/12/15 12:58
"public,north,commission,department,health,department health human,services,carolina,public health,health human services",", North Carolina","North Carolina Well Contractors Certification Commission - protects the public health and safety by ensuring the integrity and competence of well contractors through examination, certification, continuing education and enforcement. The Well Contractors Certification Unit is now part of the Department of Health and Human Services. -- Note added 11/12/15 12:57"
"nc,commission",,nc wildlife resource commission  -- Note added 9/15/15 17:32
"nc,public",,"NC WiseOwl (NC Online Windows for Learning) has been providing online subscription resources for our schools since 1999.  Our mission is to ensure that all of our public and charter school students have access to a collection of online resources for use in research projects and homework assignments, without regard to the economic status of their local school system.  NC WiseOwl has three major strengths as an educational resource: -- Note added 9/15/15 17:33"
"department,north,carolina department,nc,carolina",", North Carolina",NC Zoo is an agency of the North Carolina Department of Natural and Cultural Resources -- Note added 11/12/15 12:48
north,", North Dakota",North Dakota League of Cities -- Note added 7/22/14 6:08
department,", Nevada",Nevada Department of Wildlife -- Note added 1/27/14 20:15
department,", Nevada",Nevada Department of Wildlife (NDOW) Licensing -- Note added 10/21/13 11:53
north,", North Dakota",North Dakota Recorders Information Network -- Note added 7/21/14 6:33
"travel tourism,travel tourism site,north,travel,tourism,tourism site,site",", North Dakota",Travel and Tourism Site for North Dakota -- Note added 6/6/13 19:42
board,", Nebraska",Nebraska Ethanol Board -- Note added 12/6/13 19:53
,", Nebraska",Nebraska AgRelations Council -- Note added 12/6/13 19:45
,", Nebraska",Nebraska Association of Transportation Providers -- Note added 12/6/13 20:02
state,", Nebraska","Nebraska Arts Council. The Council is funded by the State of Nebraska, the National Endowment for the Arts, and the Nebraska Cultural Endowment. -- Note added 12/6/13 19:38"
board,", Nebraska",Nebraska Corn Board -- Note added 12/6/13 19:41
commission,", Nebraska",Nebraska Dry Bean Commission -- Note added 12/6/13 19:49
state,", Nebraska",Nebraska State Historical Society -- Note added 12/9/13 18:24
"commission,state",", Nebraska",Nebraska State Racing Commission -- Note added 12/6/13 20:01
board,", Nebraska",Nebraska Wheat Board -- Note added 12/6/13 20:06
"department,economic development",", Nebraska",Nebraska Department of Economic Development -- Note added 12/6/13 19:50
lottery,", Nebraska",Nebraska Lottery -- Note added 6/12/13 14:18
department,", Nevada",Nevada Department of Transportation -- Note added 6/26/13 15:23
,", Nevada",The Nevada Judiciary -- Note added 1/24/14 13:06
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", New Mexico",Travel and Tourism Site for New Mexico -- Note added 6/6/13 19:42
"department,economic development",", Pennsylvania",Pennsylvania Department of Community & Economic Development -- Note added 6/6/13 18:08
,", Nebraska",Nebraska Forest Service -- Note added 12/6/13 19:55
,,NH Historical Society -- Note added 9/2/15 19:01
,,NH Municipal Association -- Note added 9/2/15 19:02
"lottery,commission",", New Hampshire",New Hampshire Lottery Commission -- Note added 6/12/13 14:19
state,,NH State Parks -- Note added 9/2/15 19:03
"economic development authority,economic development,authority",", New Jersey",New Jersey Economic Development Authority -- Note added 9/16/15 15:52
"division,department",,"Division of Fish and Wildlife, NJ Department of Environmental Protection -- Note added 6/7/13 11:33"
state,", New Jersey",New Jersey State Library -- Note added 7/26/13 16:17
,", New Jersey",New Jersey Surcharge Violation System (NJSVS) -- Note added 9/16/15 15:53
department,,Department of Labor and Workforce Development   -- Note added 9/16/15 15:53
lottery,", New Mexico",New Mexico Lottery -- Note added 6/12/13 14:20
"health,public health,public",", New Mexico",New Mexico Environmental Public Health Tracking -- Note added 10/24/14 12:11
,", New Mexico","Special Supplemental Nutrition Program for New Mexico Women, Infants & Children -- Note added 1/10/14 19:17"
"public health,public,health,nc,services,division public health,division,health human services",,"Nutrition Services Branch, Women's and Children's Health, NC Division of Public Health, NCDepartment of Health and Human Services  -- Note added 3/20/14 16:33"
"department,state,health,department health human,services,division,health human services",", Nevada","Aging and Disability Services Division, Department of Health and Human Services, State of Nevada -- Note added 6/17/13 15:40"
"york state,state",", New York",New York State Conference of Mayors and Municipal Officials (NYCOM) -- Note added 7/2/15 10:49
,", New York",New York Historical Society Museum and Library -- Note added 7/2/15 10:50
"york state,state",", New York",New York State Council on the Arts -- Note added 7/2/15 10:51
"state agencies,york state,state",", New York",New York State eGovernment listing of state agencies -- Note added 9/25/13 15:35
"york state,state",", New York",New York State Fair -- Note added 6/12/13 18:48
"york state,state",", New York",New York State Homes and Community Renewal -- Note added 9/9/15 13:48
"york state,state",", New York",New York State Local Government IT Directors Association (NYSLGITDA) -- Note added 7/2/15 10:59
"york state,state",", New York",New York State Police Recruitment Center -- Note added 1/3/14 13:14
commission,,OK Corporation Commission -- Note added 8/28/15 18:20
office,", Hawaii","Office of Hawaiian Affairs - 'Under the direction of nine trustees elected statewide, OHA has functioned operationally as both a government agency with a strong degree of autonomy, and as a trust.' -- Note added 6/12/13 13:27"
,", Ohio",Ohio Bureau of Workers' Compensation -- Note added 3/26/14 18:21
,", Ohio",Ohio Humanities Council -- Note added 3/26/14 18:28
lottery,", Ohio",Ohio Lottery -- Note added 6/12/13 14:22
,", Ohio",Ohio Recorders' Association -- Note added 3/26/14 18:36
,", Oregon",Oregon Historical Society -- Note added 6/20/14 7:38
,,OK career tech website -- Note added 8/28/15 18:21
services,,OK dept of human services -- Note added 8/28/15 18:21
department,", Oklahoma","OKLibShare, Oklahoma Department of Libraries -- Note added 8/27/15 16:00"
commission,,OK LP Gas commission -- Note added 8/28/15 18:22
state,", Virginia",State of Virginia Olmstead Initiative -- Note added 8/27/15 14:13
,", Ohio",Ohio Municipal League -- Note added 3/26/14 18:40
"office,division,north",", North Carolina","Office of Land and Water Stewardship, a non-regulatory division within North Carolina's DENR that provides information and assistance to support effective conservation and resilient communities.  -- Note added 11/12/15 12:36"
commission,", Oregon",Oregon Arts Commission -- Note added 6/20/14 7:34
office,", Oregon",Oregon Governor's Office of Film and Television -- Note added 3/20/14 16:53
lottery,", Oregon",Oregon Lottery -- Note added 6/12/13 14:22
